Pi (Pa)            ,Pf (Pa)            ,Vi (m³)             ,Vf (m³)            ,ΔP (Pa)            ,ΔV (m³)             ,C = ΔV / ΔP (m⁴·s²/kg) ,Cr = (ΔV / ΔP)*(1/Z) (m⁴·s²/kg)
218889.45,437778.89,448.24,224.12,218889.45,-224.12,-0.00102,-0.00114
220416.58,440833.17,452.76,226.38,220416.58,-226.38,-0.00103,-0.00114
221943.72,443887.44,457.29,228.64,221943.72,-228.64,-0.00103,-0.00114
223470.85,446941.71,461.81,230.9,223470.85,-230.9,-0.00103,-0.00115
224997.99,449995.98,466.33,233.17,224997.99,-233.17,-0.00104,-0.00115
226525.13,453050.25,470.85,235.43,226525.13,-235.43,-0.00104,-0.00115
228052.26,456104.52,475.38,237.69,228052.26,-237.69,-0.00104,-0.00116
229579.4,459158.79,479.9,239.95,229579.4,-239.95,-0.00105,-0.00116
231106.53,462213.07,484.42,242.21,231106.53,-242.21,-0.00105,-0.00116
232633.67,465267.34,488.94,244.47,232633.67,-244.47,-0.00105,-0.00117
234160.8,468321.61,493.47,246.73,234160.8,-246.73,-0.00105,-0.00117
235687.94,471375.88,497.99,248.99,235687.94,-248.99,-0.00106,-0.00117
237215.08,474430.15,502.51,251.26,237215.08,-251.26,-0.00106,-0.00118
238742.21,477484.42,507.04,253.52,238742.21,-253.52,-0.00106,-0.00118
240269.35,480538.69,511.56,255.78,240269.35,-255.78,-0.00106,-0.00118
241796.48,483592.96,516.08,258.04,241796.48,-258.04,-0.00107,-0.00119
243323.62,486647.24,520.6,260.3,243323.62,-260.3,-0.00107,-0.00119
244850.75,489701.51,525.13,262.56,244850.75,-262.56,-0.00107,-0.00119
246377.89,492755.78,529.65,264.82,246377.89,-264.82,-0.00107,-0.00119
247905.03,495810.05,534.17,267.09,247905.03,-267.09,-0.00108,-0.0012
249432.16,498864.32,538.69,269.35,249432.16,-269.35,-0.00108,-0.0012
250959.3,501918.59,543.22,271.61,250959.3,-271.61,-0.00108,-0.0012
252486.43,504972.86,547.74,273.87,252486.43,-273.87,-0.00108,-0.00121
254013.57,508027.14,552.26,276.13,254013.57,-276.13,-0.00109,-0.00121
255540.7,511081.41,556.78,278.39,255540.7,-278.39,-0.00109,-0.00121
257067.84,514135.68,561.31,280.65,257067.84,-280.65,-0.00109,-0.00121
258594.97,517189.95,565.83,282.91,258594.97,-282.91,-0.00109,-0.00122
260122.11,520244.22,570.35,285.18,260122.11,-285.18,-0.0011,-0.00122
261649.25,523298.49,574.87,287.44,261649.25,-287.44,-0.0011,-0.00122
263176.38,526352.76,579.4,289.7,263176.38,-289.7,-0.0011,-0.00122
264703.52,529407.04,583.92,291.96,264703.52,-291.96,-0.0011,-0.00123
266230.65,532461.31,588.44,294.22,266230.65,-294.22,-0.00111,-0.00123
267757.79,535515.58,592.96,296.48,267757.79,-296.48,-0.00111,-0.00123
269284.92,538569.85,597.49,298.74,269284.92,-298.74,-0.00111,-0.00123
270812.06,541624.12,602.01,301.01,270812.06,-301.01,-0.00111,-0.00123
272339.2,544678.39,606.53,303.27,272339.2,-303.27,-0.00111,-0.00124
273866.33,547732.66,611.06,305.53,273866.33,-305.53,-0.00112,-0.00124
275393.47,550786.93,615.58,307.79,275393.47,-307.79,-0.00112,-0.00124
276920.6,553841.21,620.1,310.05,276920.6,-310.05,-0.00112,-0.00124
