Pi (Pa)            ,Pf (Pa)            ,Vi (m³)             ,Vf (m³)            ,ΔP (Pa)            ,ΔV (m³)             ,C = ΔV / ΔP (m⁴·s²/kg) ,Cr = (ΔV / ΔP)*(1/Z) (m⁴·s²/kg)
124207.0351758794  ,248414.0703517588  , 167.8391959798995  , 83.91959798994975 ,124207.0351758794  ,-83.91959798994975  ,-0.0006756428721699869 ,-0.0007507143024110966
125734.17085427136 ,251468.34170854272 , 172.36180904522612 , 86.18090452261306 ,125734.17085427136 ,-86.18090452261306  ,-0.0006854215042504126 ,-0.0007615794491671251
127261.30653266332 ,254522.61306532664 , 176.88442211055275 , 88.44221105527637 ,127261.30653266332 ,-88.44221105527637  ,-0.0006949654491609081 ,-0.000772183832401009
128788.44221105528 ,257576.88442211057 , 181.4070351758794  , 90.7035175879397  ,128788.44221105528 ,-90.7035175879397   ,-0.0007042830554569255 ,-0.0007825367282854729
130315.57788944723 ,260631.15577889446 , 185.92964824120602 , 92.96482412060301 ,130315.57788944723 ,-92.96482412060301  ,-0.0007133822803553801 ,-0.0007926469781726446
131842.7135678392  ,263685.4271356784  , 190.45226130653265 , 95.22613065326632 ,131842.7135678392  ,-95.22613065326632  ,-0.000722270712399044  ,-0.0008025230137767155
133369.84924623114 ,266739.6984924623  , 194.9748743718593  , 97.48743718592965 ,133369.84924623114 ,-97.48743718592965  ,-0.0007309555925638457 ,-0.0008121728806264952
134896.9849246231  ,269793.9698492462  , 199.49748743718592 , 99.74874371859296 ,134896.9849246231  ,-99.74874371859296  ,-0.0007394438339324629 ,-0.0008216042599249588
136424.12060301506 ,272848.2412060301  , 204.02010050251255 ,102.01005025125627 ,136424.12060301506 ,-102.01005025125627 ,-0.0007477420400465589 ,-0.000830824488940621
137951.25628140703 ,275902.51256281405 , 208.5427135678392  ,104.2713567839196  ,137951.25628140703 ,-104.2713567839196  ,-0.0007558565220400478 ,-0.0008398405800444976
139478.391959799   ,278956.783919598   , 213.06532663316582 ,106.53266331658291 ,139478.391959799   ,-106.53266331658291 ,-0.0007637933146468176 ,-0.0008486592384964641
141005.52763819095 ,282011.0552763819  , 217.58793969849245 ,108.79396984924622 ,141005.52763819095 ,-108.79396984924622 ,-0.0007715581911682425 ,-0.000857286879075825
142532.6633165829  ,285065.3266331658  , 222.1105527638191  ,111.05527638190955 ,142532.6633165829  ,-111.05527638190955 ,-0.0007791566774784939 ,-0.000865729641642771
144059.79899497487 ,288119.59798994975 , 226.63316582914572 ,113.31658291457286 ,144059.79899497487 ,-113.31658291457286 ,-0.0007865940651390579 ,-0.0008739934057100644
145586.93467336684 ,291173.86934673367 , 231.15577889447235 ,115.57788944723617 ,145586.93467336684 ,-115.57788944723617 ,-0.0007938754236878619 ,-0.0008820838040976244
147114.0703517588  ,294228.1407035176  , 235.67839195979897 ,117.83919597989949 ,147114.0703517588  ,-117.83919597989949 ,-0.0008010056121629883 ,-0.0008900062357366537
148641.20603015076 ,297282.4120603015  , 240.20100502512562 ,120.10050251256281 ,148641.20603015076 ,-120.10050251256281 ,-0.0008079892899160232 ,-0.0008977658776844703
150168.34170854272 ,300336.68341708544 , 244.72361809045225 ,122.36180904522612 ,150168.34170854272 ,-122.36180904522612 ,-0.0008148309267656063 ,-0.0009053676964062293
151695.47738693468 ,303390.95477386937 , 249.24623115577887 ,124.62311557788944 ,151695.47738693468 ,-124.62311557788944 ,-0.0008215348125376812 ,-0.0009128164583752014
153222.61306532664 ,306445.2261306533  , 253.76884422110552 ,126.88442211055276 ,153222.61306532664 ,-126.88442211055276 ,-0.0008281050660352297 ,-0.0009201167400391441
154749.7487437186  ,309499.4974874372  , 258.29145728643215 ,129.14572864321607 ,154749.7487437186  ,-129.14572864321607 ,-0.0008345456434769053 ,-0.0009272729371965615
156276.88442211057 ,312553.76884422114 , 262.8140703517588  ,131.4070351758794  ,156276.88442211057 ,-131.4070351758794  ,-0.0008408603464408937 ,-0.0009342892738232152
157804.02010050253 ,315608.04020100506 , 267.3366834170854  ,133.6683417085427  ,157804.02010050253 ,-133.6683417085427  ,-0.0008470528293475143 ,-0.0009411698103861271
159331.15577889446 ,318662.3115577889  , 271.85929648241205 ,135.92964824120602 ,159331.15577889446 ,-135.92964824120602 ,-0.0008531266065115164 ,-0.0009479184516794627
